config_id,family,hardness,threshold_value,threshold_unit,run_id,seed,feasible_found,first_feasible_iteration,stop_iteration,final_best_objective_cost,final_best_violation,final_best_feasible_cost,final_best_kp,final_best_ti,final_best_td,final_best_tf
reference_unconstrained,reference,unconstrained,0.0,-,0,20260413,1,0,22,0.2365845253754774,0.0,0.2365845253754774,10.0,0.6887620780714702,0.7081712569693341,0.14163425139386682
reference_unconstrained,reference,unconstrained,0.0,-,1,20260414,1,0,28,0.23594644070342727,0.0,0.23594644070342727,9.999977166468419,0.699678688687313,0.682939283714787,0.1365878567429574
reference_unconstrained,reference,unconstrained,0.0,-,2,20260415,1,0,24,0.23867799273153523,0.0,0.23867799273153523,9.973064371584389,0.7913637250735519,0.6728865483596562,0.13457730967193124
reference_unconstrained,reference,unconstrained,0.0,-,3,20260416,1,0,23,0.23589556834450195,0.0,0.23589556834450195,10.0,0.7061491152268697,0.6897998438408863,0.13795996876817726
reference_unconstrained,reference,unconstrained,0.0,-,4,20260417,1,0,25,0.23772371569228912,0.0,0.23772371569228912,9.922850739680051,0.7031142229954153,0.6961800334826586,0.13923600669653172
reference_unconstrained,reference,unconstrained,0.0,-,5,20260418,1,0,37,0.23926695226638925,0.0,0.23926695226638925,9.861762120202282,0.7220922612758591,0.6859725116715502,0.13719450233431002
reference_unconstrained,reference,unconstrained,0.0,-,6,20260419,1,0,29,0.23699176464432,0.0,0.23699176464432,10.0,0.7023933973507888,0.6694158459194983,0.13388316918389967
reference_unconstrained,reference,unconstrained,0.0,-,7,20260420,1,0,21,0.23588482436074873,0.0,0.23588482436074873,10.0,0.713272682600135,0.6859007451278694,0.13718014902557388
reference_unconstrained,reference,unconstrained,0.0,-,8,20260421,1,0,25,0.23590686479129322,0.0,0.23590686479129322,10.0,0.7167983473363886,0.6837417874908251,0.13674835749816502
reference_unconstrained,reference,unconstrained,0.0,-,9,20260422,1,0,43,0.23652703851856532,0.0,0.23652703851856532,10.0,0.7556099444294819,0.678589420208853,0.1357178840417706
reference_unconstrained,reference,unconstrained,0.0,-,10,20260423,1,0,27,0.23591330951016323,0.0,0.23591330951016323,10.0,0.6958386243305673,0.6884549322902364,0.13769098645804728
reference_unconstrained,reference,unconstrained,0.0,-,11,20260424,1,0,23,0.23591301104381368,0.0,0.23591301104381368,10.0,0.6958590855775274,0.688257736013702,0.1376515472027404
reference_unconstrained,reference,unconstrained,0.0,-,12,20260425,1,0,31,0.23589889998429364,0.0,0.23589889998429364,10.0,0.7166803849173424,0.6852812365715916,0.1370562473143183
reference_unconstrained,reference,unconstrained,0.0,-,13,20260426,1,0,26,0.24697910690780447,0.0,0.24697910690780447,10.0,0.554089537597374,0.7850461228600527,0.15700922457201055
reference_unconstrained,reference,unconstrained,0.0,-,14,20260427,1,0,30,0.23632361709575136,0.0,0.23632361709575136,10.0,0.7449602226038547,0.6777801025787529,0.13555602051575058
reference_unconstrained,reference,unconstrained,0.0,-,15,20260428,1,0,20,0.2362229439117506,0.0,0.2362229439117506,10.0,0.7427372432367478,0.6807659359618946,0.13615318719237893
