run_id;call_id;particle_idx;Kp;Ti;Td;pm_deg;gm_db;ms;wc;w180;V;time_simulated;time_cost;total_cost
0;2;15;3.13;1.189;3.92;91.31600094;inf;1.079021335;12.11582963;nan;0;1;11.21075343;11.21075343
0;2;16;7.875;1.0009;6.39;67.69691421;inf;1.261203604;45.80107778;nan;0.023650925;0;nan;10236509250
0;2;17;2.82;5.2777;3.03;96.48461211;inf;1.057414636;8.423390654;nan;0;1;15.23416798;15.23416798
0;2;18;2.215;3.69865;6.445;89.47281811;inf;1.089869393;14.08623902;nan;0;1;32.56785531;32.56785531
0;2;19;8.725;3.1987;0.985;91.69411117;inf;1.05986863;8.558317848;nan;0;1;3.10044804;3.10044804
0;2;20;9.47;4.9609;2.63;80.18966999;inf;1.14675292;24.26112643;nan;0;1;10.00376506;10.00376506
0;2;21;1.985;5.98555;8.365;87.30015177;inf;1.102470965;16.3450766;nan;0;1;32.59540658;32.59540658
0;2;22;7.27;7.1587;0.62;92.68442001;inf;1.03474378;4.579901668;nan;0;1;1.623937553;1.623937553
0;2;23;8.175;1.35235;9.37;58.88451001;inf;1.365121337;64.45194047;nan;0.069666237;0;nan;10696662371
0;2;24;2.855;9.86635;3.405;94.65843245;inf;1.064319695;9.60525519;nan;0;1;12.45229059;12.45229059
0;2;25;8.595;7.93585;9.795;56.86207462;inf;1.393070782;69.27139733;nan;0.083650561;0;nan;10836505611
0;2;26;8.095;2.2285;8.48;61.22331604;inf;1.335057276;59.14141738;nan;0.055088103;0;nan;10550881032
0;2;27;1.455;0.8623;9.605;90.02030526;inf;1.088016868;13.78178129;nan;0;1;21.08963775;21.08963775
0;2;28;3.81;7.65865;7.33;78.86628997;inf;1.16024126;26.96958647;nan;0.000200828;0;nan;10002008279
0;2;29;0.205;3.9115;9.095;96.21086567;inf;1.013607976;0.048886046;nan;0;1;102.4640112;102.4640112
0;2;30;2.095;8.4754;0.735;114.5813255;inf;1.012514194;1.365188763;nan;0;1;19.62355017;19.62355017
0;2;31;3;1.31275;5.17;88.06352014;inf;1.096878518;15.29178982;nan;0;1;14.29732002;14.29732002
0;2;32;2.68;1.8325;8.62;82.09884681;inf;1.136286671;22.52130556;nan;0;1;25.63575989;25.63575989
0;2;33;0.365;9.1783;9.52;107.1014929;inf;1.024664543;0.037437057;nan;0;1;109.2963292;109.2963292
0;2;34;9.155;5.32225;8.745;57.92777091;inf;1.378483443;66.68740956;nan;0.07612239;0;nan;10761223901
0;2;35;9.41;3.96595;5.5;67.08310914;inf;1.26752708;46.92904379;nan;0.026069698;0;nan;10260696984
0;2;36;7.175;0.99595;5.665;71.92104884;inf;1.219298049;38.03840672;nan;0.010198352;0;nan;10101983518
0;2;37;2.645;6.8419;1.205;109.9217815;inf;1.023856553;2.954419517;nan;0;1;8.522408998;8.522408998
0;2;38;1.975;0.7138;2.725;105.0024447;inf;1.037725717;5.108417153;nan;0;1;7.963048189;7.963048189
0;2;39;6.385;9.8218;3.055;84.14458212;inf;1.118901168;19.17087829;nan;0;1;15.803982;15.803982
0;3;0;7.522646951;4.859795635;9.59856048;60.15554265;inf;1.348447997;61.54958722;nan;0.061531639;0;nan;10615316387
0;3;1;4.398212339;0.1;1.913908737;21.28029759;-21.31872041;3.239148072;2.131414849;1.178917916;10.34737302;0;nan;1.13474E+11
0;3;2;10;10;2.314705964;81.21615666;inf;1.138253255;22.63760901;nan;0;1;12.70802835;12.70802835
0;3;3;4.156428147;10;7.136876463;77.80874062;inf;1.168444943;28.53467888;nan;0.000750253;0;nan;10007502528
0;3;4;9.033189731;10;9.634666069;56.1488385;inf;1.403455274;71.03227077;nan;0.088887173;0;nan;10888871726
0;3;5;4.81133893;9.135139342;0;51.00676983;inf;1.532232513;1.954566899;nan;0.131344906;0;nan;11313449056
0;3;6;0;10;8.239962639;nan;inf;1;nan;nan;2;0;nan;30000000000
0;3;7;7.906113108;2.569043697;3.345368062;79.40639195;inf;1.153959967;25.65929762;nan;5.51E-05;0;nan;10000550579
0;3;8;2.626961808;4.132749295;0;64.83880745;inf;1.362149248;1.293406225;nan;0.0359159;0;nan;10359158999
0;3;9;9.212768234;5.251194077;10;54.93705069;inf;1.422376331;74.10196074;nan;0.098148661;0;nan;10981486606
0;3;10;10;10;5.679155362;65.16633822;inf;1.288017168;50.72171404;nan;0.034380863;0;nan;10343808628
0;3;11;5.4908257;10;3.860109376;83.07340579;inf;1.127209878;20.76443119;nan;0;1;19.21439401;19.21439401
0;3;12;10;9.461060894;0;34.8437235;inf;1.945460506;3.001236552;nan;0.318607704;0;nan;13186077043
0;3;13;7.759893854;10;2.278801262;85.23105455;inf;1.109704465;17.44636617;nan;0;1;11.47569289;11.47569289
0;3;14;0.202236253;10;10;99.39221095;inf;1.01470966;0.01983135;nan;0;1;139.9895869;139.9895869
0;3;15;0;8.695613102;0;nan;inf;1;nan;nan;2;0;nan;30000000000
0;3;16;0;10;7.56851617;nan;inf;1;nan;nan;2;0;nan;30000000000
0;3;17;3.520996481;3.920121339;4.9995645;86.11991397;inf;1.108115347;17.32248751;nan;0;1;23.3044362;23.3044362
0;3;18;0.208340484;0.1;10;28.02339085;inf;2.165225576;0.705470917;nan;0.422119984;0;nan;14221199842
0;3;19;10;10;9.793183184;53.63608631;inf;1.441852371;77.49504592;nan;0.108602491;0;nan;11086024914
0;3;20;10;0.1;0;-40.80382734;-32.04857922;1.532351787;4.732080995;1.11843063;19.96107463;0;nan;2.09611E+11
0;3;21;8.057448883;10;9.359924258;59.21877397;inf;1.360402476;63.68346964;nan;0.067478024;0;nan;10674780242
