family,family_label,threshold_value,threshold_unit,constraint_type,severity_norm,severity_percent,series_index,mean_feasible_ratio,mean_feasible_percent,std_feasible_ratio,std_feasible_percent,selected_hardness,label
du_dt,Maximale Stellrate du/dt,500.0,1/s,maximum,0.0,0.0,19,0.9723333333333333,97.23333333333332,0.007310570733153767,0.7310570733153766,,du/dt<=500
du_dt,Maximale Stellrate du/dt,473.7368421052632,1/s,maximum,0.05263157894736836,5.263157894736836,18,0.961,96.1,0.009433981132056605,0.9433981132056605,,du/dt<=473.7
du_dt,Maximale Stellrate du/dt,447.4736842105263,1/s,maximum,0.10526315789473684,10.526315789473683,17,0.9653333333333334,96.53333333333333,0.012840906856172146,1.2840906856172145,,du/dt<=447.5
du_dt,Maximale Stellrate du/dt,421.2105263157895,1/s,maximum,0.1578947368421052,15.78947368421052,16,0.9623333333333334,96.23333333333333,0.006839428176227728,0.6839428176227729,,du/dt<=421.2
du_dt,Maximale Stellrate du/dt,394.9473684210526,1/s,maximum,0.21052631578947378,21.052631578947377,15,0.9283333333333333,92.83333333333333,0.013519533193782164,1.3519533193782165,,du/dt<=394.9
du_dt,Maximale Stellrate du/dt,368.6842105263158,1/s,maximum,0.26315789473684215,26.315789473684216,14,0.8926666666666667,89.26666666666667,0.01466666666666666,1.466666666666666,,du/dt<=368.7
du_dt,Maximale Stellrate du/dt,342.42105263157896,1/s,maximum,0.3157894736842105,31.57894736842105,13,0.8506666666666667,85.06666666666666,0.020264912204760885,2.0264912204760885,,du/dt<=342.4
du_dt,Maximale Stellrate du/dt,316.1578947368421,1/s,maximum,0.368421052631579,36.8421052631579,12,0.8086666666666666,80.86666666666666,0.03169998247458332,3.1699982474583317,,du/dt<=316.2
du_dt,Maximale Stellrate du/dt,289.89473684210526,1/s,maximum,0.42105263157894735,42.10526315789473,11,0.766,76.6,0.01331665623695877,1.331665623695877,,du/dt<=289.9
du_dt,Maximale Stellrate du/dt,263.63157894736844,1/s,maximum,0.4736842105263157,47.36842105263157,10,0.7236666666666667,72.36666666666667,0.02527405344968983,2.527405344968983,,du/dt<=263.6
