family,family_label,label,threshold_value,threshold_unit,constraint_type,mean_feasible_ratio,mean_feasible_percent,std_feasible_ratio,std_feasible_percent,selected_hardness,selected_target_ratio,selected_target_percent
du_dt,Maximale Stellrate du/dt,du/dt<=1,1.0,1/s,maximum,0.015333333333333334,1.5333333333333334,0.003711842908553348,0.3711842908553348,hard,0.05,5.0
du_dt,Maximale Stellrate du/dt,du/dt<=27.26,27.26315789473682,1/s,maximum,0.155,15.5,0.024596747752497688,2.459674775249769,,nan,nan
du_dt,Maximale Stellrate du/dt,du/dt<=53.53,53.5263157894737,1/s,maximum,0.24133333333333334,24.133333333333333,0.024549270186029287,2.4549270186029286,medium,0.2,20.0
du_dt,Maximale Stellrate du/dt,du/dt<=79.79,79.78947368421052,1/s,maximum,0.3313333333333333,33.13333333333333,0.027211108842611405,2.7211108842611407,,nan,nan
du_dt,Maximale Stellrate du/dt,du/dt<=106.1,106.05263157894734,1/s,maximum,0.398,39.800000000000004,0.02906697247545552,2.906697247545552,,nan,nan
du_dt,Maximale Stellrate du/dt,du/dt<=132.3,132.31578947368422,1/s,maximum,0.44866666666666666,44.86666666666667,0.0241844761962894,2.41844761962894,,nan,nan
du_dt,Maximale Stellrate du/dt,du/dt<=158.6,158.57894736842104,1/s,maximum,0.49866666666666665,49.86666666666667,0.026964997888208907,2.6964997888208906,easy,0.5,50.0
du_dt,Maximale Stellrate du/dt,du/dt<=184.8,184.84210526315792,1/s,maximum,0.5403333333333333,54.03333333333333,0.01386041525752786,1.3860415257527858,,nan,nan
du_dt,Maximale Stellrate du/dt,du/dt<=211.1,211.10526315789474,1/s,maximum,0.6143333333333334,61.43333333333334,0.020765890836230025,2.0765890836230025,,nan,nan
du_dt,Maximale Stellrate du/dt,du/dt<=237.4,237.36842105263156,1/s,maximum,0.6553333333333333,65.53333333333333,0.03177000681985029,3.177000681985029,,nan,nan
du_dt,Maximale Stellrate du/dt,du/dt<=263.6,263.63157894736844,1/s,maximum,0.7236666666666667,72.36666666666667,0.02527405344968983,2.527405344968983,,nan,nan
du_dt,Maximale Stellrate du/dt,du/dt<=289.9,289.89473684210526,1/s,maximum,0.766,76.6,0.01331665623695877,1.331665623695877,,nan,nan
du_dt,Maximale Stellrate du/dt,du/dt<=316.2,316.1578947368421,1/s,maximum,0.8086666666666666,80.86666666666666,0.03169998247458332,3.1699982474583317,,nan,nan
du_dt,Maximale Stellrate du/dt,du/dt<=342.4,342.42105263157896,1/s,maximum,0.8506666666666667,85.06666666666666,0.020264912204760885,2.0264912204760885,,nan,nan
du_dt,Maximale Stellrate du/dt,du/dt<=368.7,368.6842105263158,1/s,maximum,0.8926666666666667,89.26666666666667,0.01466666666666666,1.466666666666666,,nan,nan
du_dt,Maximale Stellrate du/dt,du/dt<=394.9,394.9473684210526,1/s,maximum,0.9283333333333333,92.83333333333333,0.013519533193782164,1.3519533193782165,,nan,nan
du_dt,Maximale Stellrate du/dt,du/dt<=421.2,421.2105263157895,1/s,maximum,0.9623333333333334,96.23333333333333,0.006839428176227728,0.6839428176227729,,nan,nan
du_dt,Maximale Stellrate du/dt,du/dt<=447.5,447.4736842105263,1/s,maximum,0.9653333333333334,96.53333333333333,0.012840906856172146,1.2840906856172145,,nan,nan
du_dt,Maximale Stellrate du/dt,du/dt<=473.7,473.7368421052632,1/s,maximum,0.961,96.1,0.009433981132056605,0.9433981132056605,,nan,nan
du_dt,Maximale Stellrate du/dt,du/dt<=500,500.0,1/s,maximum,0.9723333333333333,97.23333333333332,0.007310570733153767,0.7310570733153766,,nan,nan
